"","AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDatabaseTz","Type","Source"
"8270",9711,"Salerno Central Station","Salerno","Italy","\N","\N",40.675398,14.772166,1,"1","E","Europe/Rome","station","User"
"8271",9712,"Ventimiglia Railway Station","Ventimiglia","Italy","\N","\N",43.792315,7.609705,0,"1","E","Europe/Rome","station","User"
"8272",9713,"Stirling Railway Station","Stirling","United Kingdom","\N","\N",56.1201,-3.9351,95,"0","E","Europe/London","station","User"
"8273",9714,"Bothwell Railway Station","Bothwell","United Kingdom","\N","\N",55.8023,-4.0662,230,"0","E","Europe/London","station","User"
"8274",9715,"Lisbon Rossio Station","Lisbon","Portugal","\N","\N",38.71444,-9.140897,0,"0","E","Europe/Lisbon","station","User"
"8275",9716,"Sintra Station","Sintra","Portugal","\N","\N",38.798938,-9.385917,440,"0","E","Europe/Lisbon","station","User"
"8276",9717,"Gniezno Station","Gniezno","Poland","\N","\N",52.53,17.603589,385,"1","E","Europe/Warsaw","station","User"
"8277",9718,"Malbork Railway Station","Malbork","Poland","\N","\N",54.035875,19.04256,49,"1","E","Europe/Warsaw","station","User"
"8278",9719,"Tau Ferry Terminal","Tau","Norway","\N","\N",59.06551,5.90814,0,"1","E","Europe/Oslo","port","User"
"8279",9720,"Stavanger Ferry Terminal","Stavanger","Norway","\N","\N",58.97211,5.74009,0,"1","E","Europe/Oslo","port","User"
"8280",9721,"Halhjem Ferry Terminal","Halhjem","Norway","\N","\N",60.1447,5.42466,0,"1","E","Europe/Oslo","port","User"
"8281",9722,"Sandviksvag Ferry Terminal","Sandviksvag","Norway","\N","\N",59.96842,5.33563,0,"1","E","Europe/Oslo","port","User"
"8282",9723,"Arsvagen Ferry Terminal","Arsvagen","Norway","\N","\N",59.17396,5.45291,0,"1","E","Europe/Oslo","port","User"
"8283",9724,"Mortavika Ferry Terminal","Mortavika","Norway","\N","\N",59.13716,5.58843,0,"1","E","Europe/Oslo","port","User"
"8284",9725,"Schaan-Vaduz Railway Station","Vaduz","Switzerland","\N","\N",47.1686,9.5083,1500,"1","E","Europe/Vaduz","station","User"
"8285",9726,"Snowshoe Mountain Ski Resort","Snowshoe","United States","\N","\N",38.4089,-79.9947,4711,"-5","A","America/New_York","unknown","User"
"8286",9727,"Winterplace Ski Resort","Ghent","United States","\N","\N",37.59,-81.115,3600,"-5","A","America/New_York","unknown","User"
"8287",9728,"Nantahala Outdoor Center","Bryson City","United States","\N","\N",35.3312,-83.5918,1261,"-5","A","America/New_York","unknown","User"
"8288",9729,"Hillerod Station","Hillerod","Denmark","\N","\N",55.927,12.311,135,"1","E","Europe/Copenhagen","station","User"
"8289",9730,"Roskilde Station","Roskilde","Denmark","\N","\N",55.6386,12.0883,0,"1","E","Europe/Copenhagen","station","User"
"8290",9731,"Mount Samat National Shrine","Mount Samat","Philippines","\N","\N",14.6058,120.5089,1787,"8","N","Asia/Manila","unknown","User"
"8291",9732,"Bermeo Station","Bermeo","Spain","\N","\N",43.4203,-2.722,0,"1","E","Europe/Madrid","station","User"
"8292",9733,"Bilbao Atxuri Station","Bilbao","Spain","\N","\N",43.2536,-2.9217,62,"1","E","Europe/Madrid","station","User"
"8293",9734,"Gernika Station","Gernika","Spain","\N","\N",43.314448,-2.676016,33,"1","E","Europe/Madrid","station","User"
"8294",9735,"Waterloo Station","Waterloo","Belgium","\N","\N",50.715071,4.383472,390,"1","E","Europe/Brussels","station","User"
"8295",9736,"Donovaly Ski Resort","Donovaly","Slovakia","\N","\N",48.8833,19.2333,3799,"1","E","Europe/Bratislava","unknown","User"
"8296",9737,"Esztergom Vasutallomas Station","Esztergom","Hungary","\N","\N",47.77637,18.743418,360,"1","E","Europe/Budapest","station","User"
"8297",9738,"Calella Station","Calella","Spain","\N","\N",41.6128,2.6575,16,"1","E","Europe/Madrid","station","User"
"8298",9739,"Napakiak Airport","Napakiak","United States","WNA","PANA",60.690299987793,-161.97900390625,17,"-9","A","America/Anchorage","airport","OurAirports"
"8299",9740,"Delta Junction Airport","Delta Junction","United States","DJN","\N",64.050556,-145.717222,1150,"-9","A","America/Anchorage","airport","User"
"8300",9741,"Stevens Village Airport","Stevens Village","United States","SVS","\N",66.016944,-149.054444,329,"-9","A","America/Anchorage","airport","User"
"8301",9742,"Akiachak Airport","Akiachak","United States","KKI","\N",60.906111,-161.426944,25,"-9","A","America/Anchorage","airport","User"
"8302",9743,"Atmautluak Airport","Atmautluak","United States","4A2","\N",60.866667,-162.273056,17,"-9","A","America/Anchorage","airport","User"
"8303",9744,"Napaskiak Airport","Napaskiak","United States","PKA","PAPK",60.70289993,-161.7779999,24,"-9","A","America/Anchorage","airport","OurAirports"
"8304",9745,"Chignik Fisheries Airport","Chignik","United States","KCG","\N",56.317778,-158.590833,25,"-9","A","America/Anchorage","airport","User"
"8305",9746,"Tok Airport","Tok","United States","\N","PATJ",63.303333,-143.001111,1670,"-9","A","America/Anchorage","airport","OurAirports"
"8306",9747,"Klemtu Airport","Klemtu","Canada","YKT","\N",52.583333,-128.533333,0,"-8","A","America/Vancouver","airport","User"
"8307",9748,"Wekweeti Airport","Wekweeti","Canada","\N","CYWE",64.191667,-114.078889,1208,"-7","A","America/Edmonton","airport","User"
"8308",9749,"Bedwell Harbour Seaplane Base","Bedwell Harbour","Canada","YBW","CAB3",48.75,-123.233001709,0,"-8","A","America/Vancouver","airport","OurAirports"
"8309",9750,"Maya Flats Airstrip","San Ignacio","Belize","CYD","\N",17.10448,-89.10354,300,"-6","N","America/Belize","unknown","User"
"8310",9751,"Washabo Airport","Washabo","Suriname","WSO","SMWS",5.215277,-57.185302,68,"-3","N","America/Paramaribo","airport","OurAirports"
"8311",9752,"Rockford Van Galder Terminal","Rockford","United States","\N","\N",42.268635,-88.966004,728,"-6","A","America/Chicago","unknown","User"
